FIRE_YEAR,MONTH,frequency,FIRE_SIZE
2006,1,9805,569611.34
2006,2,8277,189669.42
2006,3,18923,1608173.99
2006,4,15901,439140.3
2006,5,8343,412635.81
2006,6,10884,1252315.75
2006,7,15267,2497941.63
2006,8,10993,2186406.09
2006,9,4870,683001.64
2006,10,4208,77910.41
2006,11,3119,51380.31
2006,12,3414,75311.22
2007,1,3222,30915.97
2007,2,8387,157812.63
2007,3,14098,272441.08
2007,4,10578,575623.76
2007,5,10291,530671.87
2007,6,8331,474831.35
2007,7,12084,5230532.74
2007,8,9746,959424.13
2007,9,6455,280034.95
2007,10,4734,588769.09
2007,11,4234,114227.66
2007,12,3413,50143.5
2008,1,5580,247349.01
2008,2,6985,615995.5
2008,3,9876,541542.21
2008,4,10952,461243.63
2008,5,7146,244105.73
2008,6,10085,1733341.53
2008,7,10107,557457.96
2008,8,8430,674040.32
2008,9,4200,72913.35
2008,10,4543,83817.26
2008,11,4693,116465.31
2008,12,2781,58260.29
2009,1,6129,154285.11
2009,2,9500,179661.12
2009,3,12344,432046.13
2009,4,11056,624034.54
2009,5,5920,536531.73
2009,6,5814,1757823.22
2009,7,10460,1382895.64
2009,8,6722,754819.13
2009,9,4608,143631.7
2009,10,1850,41510.47
2009,11,2930,42223.17
2009,12,992,7704.15
2010,1,2312,29841.46
2010,2,2924,28354.64
2010,3,9423,164316.91
2010,4,11527,202294.02
2010,5,5180,714676.99
2010,6,5654,531456.21
2010,7,9144,594582.81
2010,8,8164,753177.68
2010,9,7637,149821.04
2010,10,8717,149704.87
2010,11,4758,90204.57
2010,12,4449,85024.02
2011,1,5227,91161.96
2011,2,10324,596751.1
2011,3,9481,443454.22
2011,4,8658,2546798.31
2011,5,6846,1815232.85
2011,6,9453,1228456.19
2011,7,10633,473799.21
2011,8,11470,1375908.63
2011,9,7984,783723.22
2011,10,4563,189770.85
2011,11,3627,60230.8
2011,12,2286,18309.96
2012,1,4323,80201.98
2012,2,3854,50742.8
2012,3,8131,209230.49
2012,4,7839,210066.57
2012,5,5763,554957.72
2012,6,7285,1572098.78
2012,7,11921,2726053.06
2012,8,8218,3244743.56
2012,9,5015,586655.7
2012,10,3704,87361.17
2012,11,4698,87266.87
2012,12,2018,30509.78
2013,1,3150,24000.55
2013,2,3255,24531.08
2013,3,8675,141628.21
2013,4,7523,74181.32
2013,5,7291,729511.13
2013,6,5722,1280935.6
2013,7,8194,934874.49
2013,8,8292,1154650.75
2013,9,4615,60451.89
2013,10,2598,14873.32
2013,11,3818,42777.77
2013,12,1647,10086.3
2014,1,6011,72837.52
2014,2,4365,55692.53
2014,3,9177,253809.89
2014,4,9850,310238.14
2014,5,6339,386780.88
2014,6,4603,192686.96
2014,7,8710,1715610.73
2014,8,6638,445308.68
2014,9,3175,168341.81
2014,10,3077,25461.92
2014,11,4021,30837.44
2014,12,1787,15883.88
2015,1,4265,62409.1
2015,2,5214,95448.46
2015,3,8046,267062.39
2015,4,9066,132393.66
2015,5,8044,206497.09
2015,6,6409,5246259.2
2015,7,8665,1056539.17
2015,8,8407,2642556.05
2015,9,5523,290740.55
2015,10,5992,119552.77
2015,11,3296,84111.47
2015,12,1564,14697.72
